species	assembly	source	taxonomy	assembly_link	annotation_link	file_type	group
Dothistroma_septosporum	Dothistroma_septosporum_NZE10_v1.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Dothideomycetes::Capnodiales::Dothistroma	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/dothistroma_septosporum/dna/Dothistroma_septosporum.GCA_000340195.1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/dothistroma_septosporum/Dothistroma_septosporum.GCA_000340195.1.47.gtf.gz	gtf	263
Zymoseptoria_tritici	MG2	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Dothideomycetes::Capnodiales::Zymoseptoria	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/zymoseptoria_tritici/dna/Zymoseptoria_tritici.MG2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/zymoseptoria_tritici/Zymoseptoria_tritici.MG2.47.gtf.gz	gtf	263
Leptosphaeria_maculans	ASM23037v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Dothideomycetes::Pleosporales::Leptosphaeria	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/leptosphaeria_maculans/dna/Leptosphaeria_maculans.ASM23037v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/leptosphaeria_maculans/Leptosphaeria_maculans.ASM23037v1.47.gtf.gz	gtf	263
Aspergillus_nidulans	ASM1142v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Eurotiomycetes::Eurotiales::Aspergillus	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/aspergillus_nidulans/dna/Aspergillus_nidulans.ASM1142v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/aspergillus_nidulans/Aspergillus_nidulans.ASM1142v1.47.gtf.gz	gtf	263
Blumeria_graminis	EF2	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Leotiomycetes::Erysiphales::Blumeria	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/blumeria_graminis/dna/Blumeria_graminis.EF2.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/blumeria_graminis/Blumeria_graminis.EF2.47.gtf.gz	gtf	263
Tuber_melanosporum	ASM15164v1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Pezizales::Tuberaceae::Tuber	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/tuber_melanosporum/dna/Tuber_melanosporum.ASM15164v1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/tuber_melanosporum/Tuber_melanosporum.ASM15164v1.47.gtf.gz	gtf	263
Fusarium_solani	v2.0	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Sordariomycetes::Hyprocreales::Fusarium	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/fusarium_solani/dna/Fusarium_solani.v2.0.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/fusarium_solani/Fusarium_solani.v2.0.47.gtf.gz	gtf	263
Magnaporthe_oryzae	MG8	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Sordariomycetes::Magnaporthales::Magnaporthe	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/magnaporthe_oryzae/dna/Magnaporthe_oryzae.MG8.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/magnaporthe_oryzae/Magnaporthe_oryzae.MG8.47.gtf.gz	gtf	263
Magnaporthe_poae	Mag_poae_ATCC_64411_V1	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Sordariomycetes::Magnaporthales::Magnaporthe	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/magnaporthe_poae/dna/Magnaporthe_poae.Mag_poae_ATCC_64411_V1.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/magnaporthe_poae/Magnaporthe_poae.Mag_poae_ATCC_64411_V1.47.gtf.gz	gtf	263
Neurospora_crassa	NC12	EnsemblFungi47	Amorphea::Opisthokonta::Fungi::Ascomycota::Pezizomycetes::Sordariomycetes::Sordariales::Neurospora	http://ftp.ensemblgenomes.org/pub/fungi/release-47/fasta/neurospora_crassa/dna/Neurospora_crassa.NC12.dna.toplevel.fa.gz	http://ftp.ensemblgenomes.org/pub/fungi/release-47/gtf/neurospora_crassa/Neurospora_crassa.NC12.47.gtf.gz	gtf	263
